Condition,Agreement,Reinforcement,Falsity,Diversity,Uncertainty,EchoIndex,LocalDrift
anti_hedge,0.5476,0.6674,0.3907,0.0556,0.0771,2.258,-0.027
pro_hedge,0.6429,0.6669,0.4457,0.2063,0.1333,2.106,0.058
