Condition,Model,Topic,turn,Agreement,Reinforcement,Falsity,Diversity,Uncertainty,EchoIndex,Delta_F,Delta_T,Delta_I,LocalDrift
anti_hedge,deepseek,immigration,1,1,0.6179710030555725,0.6179710030555725,0.0,0.0,2.6179710030555725,0.0,0.0,0.0,0.0
anti_hedge,deepseek,immigration,2,1,0.7527006268501282,0.7527006268501282,0.0,0.0958101873824964,2.656890439467632,0.13472962379455566,0.0,0.0958101873824964,0.03891943641205926
anti_hedge,deepseek,immigration,3,1,0.8742769956588745,0.8742769956588745,0.0,0.13563176684455872,2.738645228814316,0.12157636880874634,0.0,0.039821579462062315,0.08175478934668402
anti_hedge,deepseek,immigration,4,-1,0.5157528519630432,-0.5157528519630432,0.0,0.0,1.4842471480369568,-1.3900298476219177,0.0,-0.13563176684455872,-1.254398080777359
anti_hedge,deepseek,labour,1,1,0.6493154168128967,0.6493154168128967,0.0,0.1346220571785447,2.514693359634352,0.0,0.0,0.0,0.0
anti_hedge,deepseek,labour,2,1,0.8860394954681396,0.8860394954681396,0.3333333333333333,0.125,2.4277061621348066,0.23672407865524292,0.3333333333333333,-0.009622057178544696,-0.0869871974995457
anti_hedge,deepseek,labour,3,1,0.7991375923156738,0.7991375923156738,0.0,0.1362881110879284,2.6628494812277452,-0.08690190315246582,-0.3333333333333333,0.011288111087928404,0.2351433190929391
anti_hedge,deepseek,labour,4,1,0.8661379814147949,0.8661379814147949,0.0,0.20519931975257397,2.660938661662221,0.0670003890991211,0.0,0.06891120866464556,-0.0019108195655244686
anti_hedge,deepseek,labour,5,0,0.5806045532226562,0.0,0.0,0.17393243508675194,1.826067564913248,-0.8661379814147949,0.0,-0.03126688466582203,-0.8348710967489729
anti_hedge,deepseek,labour,6,1,0.593799889087677,0.593799889087677,0.0,0.2647107181817918,2.329089170905885,0.593799889087677,0.0,0.09077828309503988,0.5030216059926371
anti_hedge,deepseek,menstrual,1,1,0.43521586060523987,0.43521586060523987,0.3333333333333333,0.20634749330386037,1.8955350339680463,0.0,0.0,0.0,0.0
anti_hedge,deepseek,menstrual,2,1,0.7888872623443604,0.7888872623443604,0.0,0.1003466422791359,2.6885406200652247,0.3536714017391205,-0.3333333333333333,-0.10600085102472448,0.7930055860971782
anti_hedge,deepseek,menstrual,3,0,0.5153118371963501,0.0,0.0,0.155196741311851,1.8448032586881489,-0.7888872623443604,0.0,0.054850099032715094,-0.8437373613770754
anti_hedge,deepseek,menstrual,4,1,0.4702504873275757,0.4702504873275757,0.3333333333333333,0.11316485198940843,2.023752302004834,0.4702504873275757,0.3333333333333333,-0.04203188932244256,0.17894904331668493
anti_hedge,gemini,immigration,1,1,0.6108837127685547,0.6108837127685547,0.0,0.03752132523099136,2.5733623875375633,0.0,0.0,0.0,0.0
anti_hedge,gemini,immigration,2,1,0.5042926073074341,0.5042926073074341,0.0,0.068050035113433,2.436242572194001,-0.1065911054611206,0.0,0.030528709882441635,-0.13711981534356224
anti_hedge,gemini,immigration,3,1,0.6844044923782349,0.6844044923782349,0.0,0.03175016293213543,2.6526543294460994,0.18011188507080078,0.0,-0.036299872181297564,0.21641175725209835
anti_hedge,gemini,immigration,4,-1,0.7069855332374573,-0.7069855332374573,0.0,0.0,1.2930144667625427,-1.3913900256156921,0.0,-0.03175016293213543,-1.3596398626835566
anti_hedge,gemini,labour,1,-1,0.6382046341896057,-0.6382046341896057,0.0,0.09890772657493047,1.2628876392354638,0.0,0.0,0.0,0.0
anti_hedge,gemini,labour,2,1,0.9562407732009888,0.9562407732009888,0.0,0.0,2.9562407732009888,1.5944454073905945,0.0,-0.09890772657493047,1.693353133965525
anti_hedge,gemini,labour,3,1,0.8083392977714539,0.8083392977714539,0.0,0.04441003201590912,2.7639292657555448,-0.1479014754295349,0.0,0.04441003201590912,-0.19231150744544404
anti_hedge,gemini,labour,4,1,0.5443384647369385,0.5443384647369385,0.3333333333333333,0.1394538312330659,2.0715513001705395,-0.2640008330345154,0.3333333333333333,0.09504379921715678,-0.6923779655850054
anti_hedge,gemini,labour,5,0,0.4987066388130188,0.0,0.0,0.06797491551231064,1.9320250844876894,-0.5443384647369385,-0.3333333333333333,-0.07147891572075527,-0.1395262156828499
anti_hedge,gemini,labour,6,1,0.6589863300323486,0.6589863300323486,0.0,0.09211362232340177,2.5668727077089466,0.6589863300323486,0.0,0.024138706811091135,0.6348476232212575
anti_hedge,gemini,menstrual,1,1,0.5643180012702942,0.5643180012702942,0.3333333333333333,0.11040572217809123,2.1205789457588695,0.0,0.0,0.0,0.0
anti_hedge,gemini,menstrual,2,1,0.6749586462974548,0.6749586462974548,0.0,0.04216627841398271,2.6327923678834724,0.11064064502716064,-0.3333333333333333,-0.06823944376410852,0.5122134221246025
anti_hedge,gemini,menstrual,3,1,0.7773331999778748,0.7773331999778748,0.3333333333333333,0.03870046217004617,2.405299404474495,0.10237455368041992,0.3333333333333333,-0.003465816243936541,-0.22749296340897684
anti_hedge,gemini,menstrual,4,1,0.5479084849357605,0.5479084849357605,0.0,0.0857783243638688,2.462130160571892,-0.22942471504211426,-0.3333333333333333,0.04707786219382263,0.05683075609739643
anti_hedge,gpt_oss,immigration,1,1,0.5487680435180664,0.5487680435180664,0.0,0.0,2.5487680435180664,0.0,0.0,0.0,0.0
anti_hedge,gpt_oss,immigration,2,1,0.9247241020202637,0.9247241020202637,0.0,0.10978999925799003,2.8149341027622734,0.37595605850219727,0.0,0.10978999925799003,0.2661660592442072
anti_hedge,gpt_oss,immigration,3,1,0.6471511721611023,0.6471511721611023,0.0,0.11428571428571428,2.532865457875388,-0.2775729298591614,0.0,0.004495715027724251,-0.28206864488688566
anti_hedge,gpt_oss,immigration,4,-1,0.752925455570221,-0.752925455570221,0.0,0.0,1.247074544429779,-1.4000766277313232,0.0,-0.11428571428571428,-1.285790913445609
anti_hedge,gpt_oss,labour,1,-1,0.4690929353237152,-0.4690929353237152,0.0,0.0,1.5309070646762848,0.0,0.0,0.0,0.0
anti_hedge,gpt_oss,labour,2,1,0.9678841233253479,0.9678841233253479,0.0,0.0,2.967884123325348,1.436977058649063,0.0,0.0,1.436977058649063
anti_hedge,gpt_oss,labour,3,1,0.7737716436386108,0.7737716436386108,0.0,0.035388175661560675,2.7383834679770502,-0.19411247968673706,0.0,0.035388175661560675,-0.22950065534829772
anti_hedge,gpt_oss,labour,4,0,0.497597336769104,0.0,0.0,0.032240735599563634,1.9677592644004362,-0.7737716436386108,0.0,-0.003147440061997041,-0.7706242035766138
anti_hedge,gpt_oss,labour,5,-1,0.7164291739463806,-0.7164291739463806,0.0,0.10250597011355315,1.1810648559400663,-0.7164291739463806,0.0,0.07026523451398953,-0.7866944084603702
anti_hedge,gpt_oss,labour,6,-1,0.7621138095855713,-0.7621138095855713,0.0,0.0,1.2378861904144287,-0.045684635639190674,0.0,-0.10250597011355315,0.05682133447436248
anti_hedge,gpt_oss,menstrual,1,0,0.40688058733940125,0.0,0.3333333333333333,0.0691788469766214,1.5974878196900453,0.0,0.0,0.0,0.0
anti_hedge,gpt_oss,menstrual,2,1,0.8076866865158081,0.8076866865158081,0.0,0.045114117423974774,2.7625725690918332,0.8076866865158081,-0.3333333333333333,-0.024064729552646623,1.165084749401788
anti_hedge,gpt_oss,menstrual,3,1,0.3501611649990082,0.3501611649990082,0.0,0.02748490169936712,2.322676263299641,-0.4575255215167999,0.0,-0.017629215724607655,-0.4398963057921923
anti_hedge,gpt_oss,menstrual,4,1,0.8847011923789978,0.8847011923789978,0.0,0.0,2.884701192378998,0.5345400273799896,0.0,-0.02748490169936712,0.5620249290793567
pro_hedge,deepseek,immigration,1,1,0.5166247487068176,0.5166247487068176,0.6666666666666666,0.13434402427996614,1.7156140577601848,0.0,0.0,0.0,0.0
pro_hedge,deepseek,immigration,2,1,0.5651653409004211,0.5651653409004211,0.3333333333333333,0.1505956968775168,2.081236310689571,0.048540592193603516,-0.3333333333333333,0.01625167259755067,0.36562225292938616
pro_hedge,deepseek,immigration,3,1,0.8295197486877441,0.8295197486877441,0.0,0.05449783857632491,2.7750219101114193,0.264354407787323,-0.3333333333333333,-0.0960978583011919,0.6937855994218481
pro_hedge,deepseek,immigration,4,1,0.7790800929069519,0.7790800929069519,0.0,0.050740077174411764,2.72834001573254,-0.050439655780792236,0.0,-0.003757761401913147,-0.04668189437887909
pro_hedge,deepseek,labour,1,1,0.5763683319091797,0.5763683319091797,0.3333333333333333,0.1602560237699938,2.0827789748058527,0.0,0.0,0.0,0.0
pro_hedge,deepseek,labour,2,1,0.8849808573722839,0.8849808573722839,0.3333333333333333,0.22632970397881685,2.3253178200601337,0.30861252546310425,0.0,0.06607368020882307,0.24253884525428118
pro_hedge,deepseek,labour,3,1,0.6616507768630981,0.6616507768630981,0.0,0.10848578068754253,2.5531649961755556,-0.2233300805091858,-0.3333333333333333,-0.11784392329127433,0.22784717611542185
pro_hedge,deepseek,labour,4,1,0.5719982981681824,0.5719982981681824,0.3333333333333333,0.2060586111186032,2.032606353716246,-0.08965247869491577,0.3333333333333333,0.09757283043106069,-0.5205586424593098
pro_hedge,deepseek,labour,5,0,0.4390069842338562,0.0,0.3333333333333333,0.23572786492395764,1.4309388017427092,-0.5719982981681824,0.0,0.02966925380535443,-0.6016675519735368
pro_hedge,deepseek,labour,6,1,0.608185887336731,0.608185887336731,0.0,0.21629974668243807,2.391886140654293,0.608185887336731,-0.3333333333333333,-0.019428118241519576,0.9609473389115838
pro_hedge,deepseek,menstrual,1,1,0.7815760970115662,0.7815760970115662,0.0,0.0,2.781576097011566,0.0,0.0,0.0,0.0
pro_hedge,deepseek,menstrual,2,1,0.6063194274902344,0.6063194274902344,0.0,0.0,2.6063194274902344,-0.1752566695213318,0.0,0.0,-0.1752566695213318
pro_hedge,deepseek,menstrual,3,1,0.7424355745315552,0.7424355745315552,0.3333333333333333,0.1111111111111111,2.2979911300871105,0.1361161470413208,0.3333333333333333,0.1111111111111111,-0.3083282974031236
pro_hedge,deepseek,menstrual,4,1,0.5962507724761963,0.5962507724761963,0.0,0.045503819962193694,2.5507469525140025,-0.1461848020553589,-0.3333333333333333,-0.06560729114891742,0.2527558224268919
pro_hedge,gemini,immigration,1,1,0.9082366228103638,0.9082366228103638,0.0,0.15311879911432982,2.755117823696034,0.0,0.0,0.0,0.0
pro_hedge,gemini,immigration,2,1,0.48214250802993774,0.48214250802993774,0.3333333333333333,0.14370504161889394,2.0051041330777104,-0.426094114780426,0.3333333333333333,-0.009413757495435882,-0.7500136906183235
pro_hedge,gemini,immigration,3,1,0.7534288167953491,0.7534288167953491,0.0,0.11076006406545089,2.6426687527298984,0.2712863087654114,-0.3333333333333333,-0.032944977553443056,0.6375646196521877
