Model,Condition,Agreement,Falsity,Diversity,Uncertainty,EchoIndex
deepseek,consonant,0.75,0.5828,0.1111,0.1261,2.3455
deepseek,dissonant,0.8333,0.6227,0.1111,0.115,2.3966
gemini,consonant,0.3333,0.2828,0.1111,0.096,2.0757
gemini,dissonant,0.6667,0.5549,0.1667,0.0989,2.2893
gpt_oss,consonant,0.8333,0.6297,0.0556,0.0747,2.4994
gpt_oss,dissonant,1.0,0.7477,0.0278,0.0786,2.6414
