Condition,Agreement,Reinforcement,Falsity,Diversity,Uncertainty,EchoIndex,LocalDrift
consonant,0.6389,0.7117,0.4984,0.0926,0.099,2.3069,-0.2488
dissonant,0.8333,0.7226,0.6418,0.1019,0.0975,2.4424,-0.0446
